experiment_id,family,scope,current_status,status_group,claim_class,headline_result,canonical_artifact,superseded_or_secondary,next_action
E01,Legacy SBTG connectome and synthetic benchmarks,legacy synthetic and real reduced-form screening,foundational_limited,Foundational / descriptive,reduced_form,Corrected pipeline and historical benchmark; SBTG joint-score statistics are not conditional SID fields,SBTG/merged_results/README.md,individual legacy run folders,retain as comparator and provenance
E02,Foundational SID matched synthetics,matched synthetic conditional-variance kernel,supported,Supported,method_validation,Injected gain kernel recovered at correlation 0.998,README.md,broad extrapolation beyond matched estimand,retain as foundational method proof
E03,ACMMA all-data estimation,28-worm incomplete observation design,supported,Supported,estimator_infrastructure,Exact complete-case reproduction and gain stability roughly 0.29 to 0.46-0.56,sid_elegans/output/biolag/ALLDATA_RESULT.md,donor-imputed all-data fits,use for incomplete multi-worm estimation
E04,Real-data predictive distribution,leave-one-worm-out predictive law,supported,Supported,predictive,Conditional variance improves held-out NLL by 0.364 on 28 worms,sid_elegans/output/newlevers/RESULTS.md,mechanistic interpretation of the same fit,make primary real-data claim
E05,Real anatomical and receptor correspondence,holistic AUROC against noisy proxy targets,descriptive_conditional,Foundational / descriptive,localization,SID is competitive overall and MDN has a serotonin lead but targets/configurations are noisy,sid_elegans/output/HOLISTIC_ASSESSMENT.md,single-target winners and causal wording,keep secondary with multiplicity and stability caveats
E06,Real lag-resolved neuromodulator signature,all transmitters all 28 worms multiple score objectives,negative,Negative,biological_mechanism,No robust lag-resolved aminergic or peptidergic signal; original dBC lead does not replicate,sid_elegans/output/biolag/ALLDATA_RESULT.md,six-worm 80-percent-row headline and old paper conclusion,cite as comprehensive negative
E07,Frozen-v2 neuromodulatory mechanism benchmark,synthetic prediction fields latent states interventions and graph stress,mixed_conditional,Conditional / developmental,capability_benchmark,Matched prediction/mean/dispersion partly work; gating latent and controlled C1 remain weak,neuromod_benchmark/outputs/frozen_v2/,pilot medium frozen_v1 and rethink runs,use capability-specific reports only
E08,Pointwise history-tangent benchmark,synthetic local history derivatives,negative_current_route,Negative,derivative_validation,Optimization passes but derivative-readiness gates fail,history_tangent_benchmark/DIFFUSION_VS_AR_SCIENTIFIC_REPORT.md,developmental smoke and tuning runs,deprioritize unrestricted point gradients
E09,Finite history contrasts,G1-G4 finite supported history changes,developmental_conditional,Conditional / developmental,finite_contrast,G1 location and G4 low-rank useful; G2 covariance and G3 skew fail adapter gate,history_tangent_benchmark/results/revised_note_v1_finite_contrast_20260712/,individual seed folders,continue only oracle-cleared lanes
E10,G8 typed and path rescue,quartic-path finite contrast with typed representations,developmental_positive,Conditional / developmental,finite_typed,Aligned motif/path classifiers recover the declared feature while generic representation fails,analysis/g8_typed_classifier_benchmark_2026-07-13/,earlier G8 exploratory variants,confirm prospectively before headline use
E11,Distributional SID E0-E11,bounded feature tangents orthogonal inference and adjudication,conditional_go,Conditional / developmental,bounded_feature_inference,Regular bounded/path features work; E6 E8 E9 require conditional rescues and strict gates,reports/distributional_sid_adjudication_2026-07-14/,reports/distributional_sid_decisive_2026-07-14/ for E6 E8 E9 decisions,confirm rescued lanes under harder prospective designs
E12,Empirical SID Tier 1 and Tier 2,target-by-target local dynamic and operator validation,diagnostic_mixed,Conditional / developmental,estimand_alignment,Direct or matched-law routes recover several targets; no general score-derived advantage,reports/sid_empirical_validation_2026-07-14/,earlier v1-v3 and standalone tier2 packaging runs,use target-specific decision table
